2023-03-05 03:28:48,283 INFO    Thread-26 :23728 [wandb_setup.py:_flush():68] Configure stats pid to 23728
2023-03-05 03:28:48,284 INFO    Thread-26 :23728 [wandb_setup.py:_flush():68] Loading settings from C:\Users\anant\.config\wandb\settings
2023-03-05 03:28:48,284 INFO    Thread-26 :23728 [wandb_setup.py:_flush():68] Loading settings from C:\Users\anant\CS6910\Assignment 1\wandb\settings
2023-03-05 03:28:48,284 INFO    Thread-26 :23728 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'CS6910_DL_ASS1', 'entity': 'ananthu2014', 'root_dir': 'C:\\Users\\anant\\CS6910\\Assignment 1', 'run_id': '54kjoadu', 'sweep_param_path': 'C:\\Users\\anant\\CS6910\\Assignment 1\\wandb\\sweep-qlfjkepp\\config-54kjoadu.yaml', 'sweep_id': 'qlfjkepp'}
2023-03-05 03:28:48,285 INFO    Thread-26 :23728 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-05 03:28:48,285 INFO    Thread-26 :23728 [wandb_init.py:_log_setup():492] Logging user logs to C:\Users\anant\CS6910\Assignment 1\wandb\run-20230305_032848-54kjoadu\logs\debug.log
2023-03-05 03:28:48,285 INFO    Thread-26 :23728 [wandb_init.py:_log_setup():493] Logging internal logs to C:\Users\anant\CS6910\Assignment 1\wandb\run-20230305_032848-54kjoadu\logs\debug-internal.log
2023-03-05 03:28:48,286 INFO    Thread-26 :23728 [wandb_init.py:_jupyter_setup():438] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000026F08565E50>
2023-03-05 03:28:48,286 INFO    Thread-26 :23728 [wandb_init.py:init():532] calling init triggers
2023-03-05 03:28:48,286 INFO    Thread-26 :23728 [wandb_init.py:init():538] wandb.init called with sweep_config: {'activation': 'identity_function', 'batch_size': 64, 'beta': 0.9, 'beta1': 0.9, 'beta2': 0.99, 'epochs': 10, 'lambd': 0.01, 'learning_rate': 0.01, 'loss': 'mean_squared_error_function', 'momentum': 0.9, 'neurons': 128, 'num_hidden_layers': 1, 'optimizer': 'stochastic_gradient_descent', 'weight_init': 'random_initialization'}
config: {'learning_rate': 0.01, 'activation': 'sigmoid_function', 'weight_init': 'random_initialization', 'optimizer': 'stochastic_gradient_descent', 'batch_size': 4, 'epochs': 10, 'lambd': 0, 'neurons': 4, 'num_hidden_layers': 1, 'momentum': 0.9, 'beta': 0.9, 'beta1': 0.9, 'beta2': 0.99, 'loss': 'cross_entropy_function'}
2023-03-05 03:28:48,286 INFO    Thread-26 :23728 [wandb_init.py:init():588] starting backend
2023-03-05 03:28:48,286 INFO    Thread-26 :23728 [wandb_init.py:init():592] setting up manager
2023-03-05 03:28:48,313 INFO    Thread-26 :23728 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-03-05 03:28:48,352 INFO    Thread-26 :23728 [wandb_init.py:init():599] backend started and connected
