2023-03-08 16:55:32,833 INFO    Thread-375:13272 [wandb_setup.py:_flush():68] Configure stats pid to 13272
2023-03-08 16:55:32,834 INFO    Thread-375:13272 [wandb_setup.py:_flush():68] Loading settings from C:\Users\anant\.config\wandb\settings
2023-03-08 16:55:32,834 INFO    Thread-375:13272 [wandb_setup.py:_flush():68] Loading settings from C:\Users\anant\CS6910\Assignment 1\wandb\settings
2023-03-08 16:55:32,834 INFO    Thread-375:13272 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'CS6910_DL_ASS1', 'entity': 'ananthu2014', 'root_dir': 'C:\\Users\\anant\\CS6910\\Assignment 1', 'run_id': 'y7isx8nc', 'sweep_param_path': 'C:\\Users\\anant\\CS6910\\Assignment 1\\wandb\\sweep-th68t5nl\\config-y7isx8nc.yaml', 'sweep_id': 'th68t5nl'}
2023-03-08 16:55:32,838 INFO    Thread-375:13272 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-08 16:55:32,838 INFO    Thread-375:13272 [wandb_init.py:_log_setup():492] Logging user logs to C:\Users\anant\CS6910\Assignment 1\wandb\run-20230308_165532-y7isx8nc\logs\debug.log
2023-03-08 16:55:32,838 INFO    Thread-375:13272 [wandb_init.py:_log_setup():493] Logging internal logs to C:\Users\anant\CS6910\Assignment 1\wandb\run-20230308_165532-y7isx8nc\logs\debug-internal.log
2023-03-08 16:55:32,838 INFO    Thread-375:13272 [wandb_init.py:_jupyter_setup():438] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000023D97198790>
2023-03-08 16:55:32,838 INFO    Thread-375:13272 [wandb_init.py:init():532] calling init triggers
2023-03-08 16:55:32,839 INFO    Thread-375:13272 [wandb_init.py:init():538] wandb.init called with sweep_config: {'activation': 'sigmoid_function', 'batch_size': 32, 'beta': 0.9, 'beta1': 0.9, 'beta2': 0.99, 'epochs': 10, 'lambd': 0, 'learning_rate': 0.0001, 'loss': 'cross_entropy_function', 'momentum': 0.9, 'neurons': 16, 'num_hidden_layers': 2, 'optimizer': 'nadam', 'weight_init': 'xavier_initialization'}
config: {'learning_rate': 0.1, 'activation': 'sigmoid_function', 'weight_init': 'random_initialization', 'optimizer': 'stochastic_gradient_descent', 'batch_size': 4, 'epochs': 10, 'lambd': 0, 'neurons': 4, 'num_hidden_layers': 1, 'momentum': 0.5, 'beta': 0.5, 'beta1': 0.5, 'beta2': 0.5, 'loss': 'cross_entropy_function'}
2023-03-08 16:55:32,839 INFO    Thread-375:13272 [wandb_init.py:init():588] starting backend
2023-03-08 16:55:32,839 INFO    Thread-375:13272 [wandb_init.py:init():592] setting up manager
2023-03-08 16:55:32,846 INFO    Thread-375:13272 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-03-08 16:55:32,855 INFO    Thread-375:13272 [wandb_init.py:init():599] backend started and connected
2023-03-08 16:55:32,872 INFO    Thread-375:13272 [wandb_run.py:_config_callback():1250] config_cb None None {'activation': 'sigmoid_function', 'batch_size': 32, 'beta': 0.9, 'beta1': 0.9, 'beta2': 0.99, 'epochs': 10, 'lambd': 0, 'learning_rate': 0.0001, 'loss': 'cross_entropy_function', 'momentum': 0.9, 'neurons': 16, 'num_hidden_layers': 2, 'optimizer': 'nadam', 'weight_init': 'xavier_initialization'}
2023-03-08 16:55:32,872 INFO    Thread-375:13272 [wandb_run.py:_label_probe_notebook():1203] probe notebook
2023-03-08 16:55:32,873 INFO    Thread-375:13272 [wandb_run.py:_label_probe_notebook():1213] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-08 16:55:32,873 INFO    Thread-375:13272 [wandb_init.py:init():687] updated telemetry
2023-03-08 16:55:32,923 INFO    Thread-375:13272 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-03-08 16:55:33,563 INFO    Thread-375:13272 [wandb_run.py:_on_init():2134] communicating current version
2023-03-08 16:55:33,621 INFO    Thread-375:13272 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.13.11 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-08 16:55:33,621 INFO    Thread-375:13272 [wandb_init.py:init():775] starting run threads in backend
2023-03-08 16:55:46,479 INFO    Thread-375:13272 [wandb_run.py:_console_start():2114] atexit reg
2023-03-08 16:55:46,479 INFO    Thread-375:13272 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-08 16:55:46,479 INFO    Thread-375:13272 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-08 16:55:46,479 INFO    Thread-375:13272 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-08 16:55:46,480 INFO    Thread-375:13272 [wandb_init.py:init():817] run started, returning control to user process
2023-03-08 16:55:57,178 INFO    Thread-375:13272 [wandb_run.py:_finish():1854] finishing run ananthu2014/CS6910_DL_ASS1/y7isx8nc
2023-03-08 16:55:57,178 INFO    Thread-375:13272 [jupyter.py:save_history():449] not saving jupyter history
2023-03-08 16:55:57,178 INFO    Thread-375:13272 [jupyter.py:save_ipynb():379] not saving jupyter notebook
2023-03-08 16:55:57,178 INFO    Thread-375:13272 [wandb_init.py:_jupyter_teardown():420] cleaning up jupyter logic
2023-03-08 16:55:57,178 INFO    Thread-375:13272 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-03-08 16:55:57,179 INFO    Thread-375:13272 [wandb_run.py:_restore():2066] restore
2023-03-08 16:55:57,179 INFO    Thread-375:13272 [wandb_run.py:_restore():2072] restore done
2023-03-08 16:56:02,875 INFO    Thread-375:13272 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2023-03-08 16:56:02,876 INFO    Thread-375:13272 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2023-03-08 16:56:02,884 INFO    Thread-375:13272 [wandb_run.py:_footer_sync_info():3398] logging synced files
